year,month,circle,type_of_connection,service_provider,value,notes
2025,February,West Bengal,wireless,MTNL,,
2025,February,All India,wireless,MTNL,1000279,
2025,February,Andhra Pradesh,wireless,Reliance Jio,31790196,
2025,February,Assam,wireless,Reliance Jio,9722615,
2025,February,Bihar,wireless,Reliance Jio,41361261,
2025,February,Delhi,wireless,Reliance Jio,19700790,
2025,February,Gujarat,wireless,Reliance Jio,29967554,
2025,February,Haryana,wireless,Reliance Jio,8314955,
2025,February,Himachal Pradesh,wireless,Reliance Jio,3212893,
2025,February,Jammu and Kashmir,wireless,Reliance Jio,4848972,
2025,February,Karnataka,wireless,Reliance Jio,24638183,
2025,February,Kerala,wireless,Reliance Jio,10718043,
2025,February,Kolkata,wireless,Reliance Jio,10685633,
2025,February,Madhya Pradesh,wireless,Reliance Jio,44977398,
2025,February,Maharashtra,wireless,Reliance Jio,42370458,
2025,February,Mumbai,wireless,Reliance Jio,13045333,
2025,February,North East,wireless,Reliance Jio,4293124,
2025,February,Odisha,wireless,Reliance Jio,15821044,
2025,February,Punjab,wireless,Reliance Jio,11328559,
2025,February,Rajasthan,wireless,Reliance Jio,26301466,
2025,February,Tamil Nadu,wireless,Reliance Jio,24623436,
2025,February,Uttar Pradesh (East),wireless,Reliance Jio,41378733,
2025,February,Uttar Pradesh (West),wireless,Reliance Jio,24260684,
2025,February,West Bengal,wireless,Reliance Jio,24227775,
2025,February,All India,wireless,Reliance Jio,467589105,
2025,January,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33735002,
2025,January,Assam,wireless,Bharti Airtel (Including Tata Tele.),11984141,
2025,January,Bihar,wireless,Bharti Airtel (Including Tata Tele.),40672414,
2025,January,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18561878,
2025,January,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12308365,
2025,January,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7134781,
2025,January,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3565291,
2025,January,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6110170,
2025,January,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32216163,
2025,January,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8891514,
2025,January,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5450894,
2025,January,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16521520,
2025,January,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22510042,
2025,January,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10099114,
2025,January,North East,wireless,Bharti Airtel (Including Tata Tele.),6273468,
2025,January,Odisha,wireless,Bharti Airtel (Including Tata Tele.),11749063,
2025,January,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12422911,
2025,January,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23235660,
2025,January,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),29966292,
2025,January,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36432568,
2025,January,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18808741,
2025,January,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18310281,
2025,January,All India,wireless,Bharti Airtel (Including Tata Tele.),386960273,
2025,January,Andhra Pradesh,wireless,Reliance Communications,0,
2025,January,Assam,wireless,Reliance Communications,0,
2025,January,Bihar,wireless,Reliance Communications,0,
2025,January,Delhi,wireless,Reliance Communications,2,
2025,January,Gujarat,wireless,Reliance Communications,16,
2025,January,Haryana,wireless,Reliance Communications,0,
2025,January,Himachal Pradesh,wireless,Reliance Communications,0,
2025,January,Jammu and Kashmir,wireless,Reliance Communications,0,
2025,January,Karnataka,wireless,Reliance Communications,427,
2025,January,Kerala,wireless,Reliance Communications,0,
2025,January,Kolkata,wireless,Reliance Communications,0,
2025,January,Madhya Pradesh,wireless,Reliance Communications,0,
2025,January,Maharashtra,wireless,Reliance Communications,0,
2025,January,Mumbai,wireless,Reliance Communications,58,
2025,January,North East,wireless,Reliance Communications,0,
2025,January,Odisha,wireless,Reliance Communications,0,
2025,January,Punjab,wireless,Reliance Communications,6,
2025,January,Rajasthan,wireless,Reliance Communications,81,
2025,January,Tamil Nadu,wireless,Reliance Communications,0,
2025,January,Uttar Pradesh (East),wireless,Reliance Communications,0,
2025,January,Uttar Pradesh (West),wireless,Reliance Communications,0,
2025,January,West Bengal,wireless,Reliance Communications,9,
2025,January,All India,wireless,Reliance Communications,599,
2025,January,Andhra Pradesh,wireless,Vodafone Idea,9878936,
2025,January,Assam,wireless,Vodafone Idea,1419772,
2025,January,Bihar,wireless,Vodafone Idea,7532447,
2025,January,Delhi,wireless,Vodafone Idea,16605020,
2025,January,Gujarat,wireless,Vodafone Idea,19682084,
2025,January,Haryana,wireless,Vodafone Idea,6369739,
2025,January,Himachal Pradesh,wireless,Vodafone Idea,374422,
2025,January,Jammu and Kashmir,wireless,Vodafone Idea,258390,
2025,January,Karnataka,wireless,Vodafone Idea,6572969,
2025,January,Kerala,wireless,Vodafone Idea,12991598,
